w_l,w_s,w_r,apple_x,apple_y,tail_x,tail_y,Q_k_l,k_l,Q_k_s,k_s,Q_k_r,k_r
1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,2.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.9,3.0,1.9,3.0,1.9,3.0
1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.95,2.0,1.95,2.0,2.0,2.0
1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,1.0
